judge,INT2
Robert E. Payne,447.0751105
Robert E. Wier,560
Robert Earl Maxwell,271.2619048
Robert Everett Coyle,316.0050761
Robert F. Rossiter Jr.,365.4245283
Robert G. Doumar,313.9156627
Robert G. James,329.9584906
Robert H. Whaley,561.0967213
Robert Hardy Cleland,416.6800731
Robert Holmes Bell,408.23705
Robert J. Cindrich,382.9428571
Robert J. Conrad,363.1056701
Robert J. Shelby,479.8786408
Robert James Jonker,409.5967742
Robert Jensen Bryan,340.3705882
Robert Joseph Ward,151
Robert Keeton,397.5
Robert L. Carter,216.0943396
Robert L. Vining Jr.,312.8205128
Robert L. Wilkins,133
Robert Leon Jordan,411.2817574
Robert Lowell Miller Jr.,332.8724614
Robert Mitsuhiro Takasugi,423.0414747
Robert N. Chatigny,286.3401826
Robert N. Scola Jr.,373.3962264
Robert P. Patterson Jr.,376.1603376
Robert S. Lasnik,424.2360976
Robert T. Dawson,364.4202627
Robert Timlin,428.5497076
Robert W. Schroeder III,176.6666667
Robert W. Sweet,361.4642857
Roberto Lange,394.6382979
Robin L. Rosenberg,360.6875
Robin S. Rosenbaum,340.1785714
Roderick R. McKelvie,460
Rodney Scott Webb,391.5472973
Rodney W. Sippel[Note 1],232.7466945
Rodolfo Lozano,303.2085386
Roger Gordon Strand,258.3170732
Roger L. Hunt,385.3167331
Roger Vinson,338.2558984
Roger W. Titus,500.9574468
Ron Clark,252.0650069
Ronald A. White,311.1493644
Ronald B. Leighton,421.4537445
Ronald Earl Longstaff,269.1369151
Ronald S. W. Lew,452.9280303
Ronald Whyte,534.002381
Ronnie Abrams,273.7096774
Ronnie L. White,192.398524
Rosanna M. Peterson,555.1410658
Rosemary M. Collyer,205.15
Rosemary MÃ¡rquez,415.6053812
Roslyn O. Silver,252.9454787
Roslynn R. Mauskopf,378.9502762
Roy B. Dalton Jr.,495.311828
Royce Lamberth,206.7206897
Rudolph Contreras,120.1960784
Rudolph T. Randa,497.8011472
Rya W. Zobel,286.2218045
S. Arthur Spiegel,331.4581006
S. James Otero,431.0348259
S. Maurice Hicks Jr.,294.958589
Salvador E. Casellas,398.7853881
Sam A. Crow,508.8413098
Sam E. Haddon,326.5649123
Sam Sparks,407.9587766
Samuel Conti,727
Samuel Grayson Wilson,382.8339483
Samuel H. Mays Jr.,299.6008799
Sandra J. Feuerstein,437.7130045
Sandra L. Townes,422.9268293
Sandra S. Beckwith,336.9128631
Sara Lynn Darrow,423.6716418
Sarah Evans Barker,149.7771588
Sarah S. Vance,423.2803181
Saundra Brown Armstrong,601.4897959
Scott L. Palk,554.4444444
Scott Olin Wright,309.0628571
Scott W. Skavdahl,168.2294264
Sean Cox,388.8950276
Sean J. McLaughlin,289.25
Sharion Aycock,460.4241436
Sharon L. Gleason,347.5694444
Sharon Lovelace Blackburn,298.8872621
Shelby Highsmith,464.8414634
Shelly Deckert Dick,380.794702
Sheri Polster Chappell,557.5769231
Sheryl H. Lipman,236.0835509
Shira A. Scheindlin,355.0208333
Shirley Wohl Kram,272.5892857
Sidney H. Stein,354.4038835
Solomon Blatt Jr.,208.1885246
Solomon Oliver Jr.,392.3013994
Staci Michelle Yandle,354.7345133
Stanley Allen Bastian,589.4630872
Stanley R. Chesler,168.0136452
Stanley Thomas Anderson,303.7379576
Stanwood Duval,452.9644269
Stefan R. Underhill,229.409901
Stephan P. Mickle,350.0913043
Stephanie Marie Rose,316.0338346
Stephen C. Robinson,246.9275362
Stephen G. Larson,416.4210526
Stephen M. McNamee,237.9699912
Stephen M. Reasoner,181.3333333
Stephen Murphy III,423.6398467
Stephen Orlofsky,280
Stephen R. Bough,362.5595238
Stephen Victor Wilson,450.1972222
Sterling Johnson Jr.,363.1611511
Steve C. Jones,347.0299728
Steven Douglas Merryday,490.0585185
Steven J. McAuliffe,484.5970938
Steven Paul Logan,337.0886076
Stewart Dalzell,352.8474576
Sue E. Myerscough,352.0382166
Sue Lewis Robinson,330.668435
Susan Brnovich,323.3333333
Susan C. Bucklew,498.4577743
Susan Davis Wigenton,178.4855769
Susan Illston,536.3722944
Susan J. Dlott,342.4277879
Susan Oki Mollway,364.1805702
Susan Owens Hickey,493.1549815
Susan P. Watters,472.4307692
Susan R. Bolton,314.0744143
Susan Richard Nelson,310.8403361
Susan Webber Wright,231.1721035
Susie Morgan,361.7730496
Sven Erik Holmes,417.6315789
Sylvia H. Rambo,274.2234375
T. John Ward,193.3846154
T. S. Ellis III,238.2687839
Tanya S. Chutkan,147.1052632
Tanya Walton Pratt,277.4456522
Ted Stewart,421.0674502
Tena Campbell,461.9276792
Terence C. Kern,382.6627907
Terrence F. McVerry,419.7871622
Terrence G. Berg,441.8181818
Terry A. Doughty,525
Terry F. Moorer,0
Terry J. Hatter Jr.,454.3950617
Terry L. Wooten,232.8783151
Thad Heartfield,314.9280822
Thelton Henderson,610.9756098
Theodore D. Chuang,576.6101695
Theresa Lazar Springmann,312.8236915
Thomas A. Varlan,371.0946052
Thomas B. Russell,360.2944984
Thomas Collier Platt Jr.,443.8527132
Thomas D. Schroeder,354.3216783
Thomas F. Hogan,259.3188406
Thomas Gray Hull,312.5
Thomas Hardiman,252.3529412
Thomas I. Vanaskie,347.2540541
Thomas James McAvoy,260.6166832
Thomas Lamson Ludington,447.1518987
Thomas M. Golden,656.6666667
Thomas M. Rose,241.4917127
Thomas Michael Shanahan,400.6309524
Thomas O. Rice,545.5776892
Thomas P. Griesa,320.8441065
Thomas Penfield Jackson,337.4166667
Thomas Porteous,328.75
Thomas Samuel Zilly,383.0480591
Thomas W. Phillips,371.3006397
Thomas W. Thrash Jr.,363.8012959
Timothy C. Batten Sr.,388.5119048
Timothy J. Corrigan,380.2937956
Timothy J. Kelly,443.3333333
Timothy J. Savage,385.2330508
Timothy L. Brooks,490.923913
Timothy M. Cain,455.2207792
Timothy Mark Burgess,397.8196721
Timothy S. Black,294.9642857
Timothy S. Hillman,153.490566
Tom Kleeh,295
Tom Stagg,263.045082
Tom Stewart Lee,330.311943
Travis Randall McDonough,483.5655738
Trevor N. McFadden,292.5
Tripp Self,0
Troy L. Nunley,653.5060976
Truman McGill Hobbs,286.6666667
Tucker L. Melancon,358.4758065
U. W. Clemon,305.2282158
Valerie Baker Fairbank,313.3076923
Valerie E. Caproni,376.2264151
Vanessa Lynne Bryant,296.3221884
Vaughn Walker,473.5636364
Vernon S. Broderick,300.4166667
Victor Allen Bolden,324.025974
Victor Marrero,343.2197125
Victoria A. Roberts,378.4662577
Vince Chhabria,536.1538462
Virginia A. Phillips,480.27654
Virginia Emerson Hopkins,342.5333333
W. Allen Pepper Jr.,320.1146789
W. Craig Broadwater,206.7692308
W. Louis Sands,137.3713911
Walker David Miller,433.2477612
Walter Evan Black Jr.,106
Walter Herbert Rice,245.7278732
Walter J. Gex III,386.6172507
Walter Kelley,295.5357143
Walter Scott Smith Jr.,481.1209987
Warren Keith Urbom,416.6454545
Warren William Eginton,313.7078652
Wayne Edward Alley,322.8571429
Wendell Alverson Miles,286.5
Wendy Beetlestone,283.3333333
Wesley E. Brown,546.7318436
Wilbur Dawson Owens Jr.,265.7685185
Wiley Young Daniel,395.8733509
Wilhelmina Wright,381.2820513
Wilkie D. Ferguson,471.1860465
William B. Shubb,584.9322854
William C. Griesbach,517.8972521
William Charles Lee,332.65625
William Clark O'Kelley,332.95
William D. Quarles Jr.,580.5054945
William Dimitrouleas,331.3899336
William Docker Browning,85
William Donald Stiehl,427.7578475
William Duffy Keller,359.6190476
William E. Smith,363.6855792
William F. Downes,164.8466667
William F. Jung,700
William Francis Kuntz,389.0756303
William Fremming Nielsen,552.3068783
William G. Bassler,211.8015873
William G. Young,239.1426174
William H. Pauley III,335.4650284
William H. Walls,186.5221774
William Harold Albritton III,313.3938731
William Haskell Alsup,500.4589552
William Henry Barbour Jr.,357.9719888
William Hoeveler,445
William J. Castagna,463.220339
William J. Martini,198.5066163
William J. MartÃ­nez,402.2916667
William J. Rea,466.3673469
William J. Zloch,360.7425743
William Joseph Nealon Jr.,387.9548872
William K. Sessions III,364.5081522
William Keith Watkins,222.4745269
William Lindsay Osteen Sr.,312.6237624
William Lloyd Standish,310.3064516
William M. Conley,209.2144374
William M. Nickerson,511.55
William M. Skretny,176.6926174
"William Matthew Byrne, Jr.",400.9767442
William Odis Bertelsman,421.3207547
William Orrick III,604.4086022
William Q. Hayes,294.9241742
William Royal Furgeson Jr.,480.0493506
William S. Duffey Jr.,390.7616708
William Schwarzer,783
William Steger,253.7560976
William T. Lawrence,324.2105263
William Terrell Hodges,491.1401152
William Theodore Moore Jr.,342.9203403
William W. Caldwell,346.2489362
Willis B. Hunt Jr.,382.6237288
Wilma A. Lewis,252
Xavier Rodriguez,561.8679369
Yvette Kane,239.6185243
Yvonne Gonzalez Rogers,607.1511628
Zita Leeson Weinshienk,410
